recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status
2026-06-15_MANUAL_1_드림텍,2026-06-15,MANUAL,1,드림텍,,반도체/전자부품,100,"6,310","6,310",2026-06-15 11:52:16,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_9_KODEX 200타겟위클리커버드콜,2026-06-13,AM,9,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,66.0,"25,050","26,350",2026-06-15 11:52:16,2,5.19%,5.19%,,,5.19%,0.00%,tracking_updated
2026-06-13_AM_8_에이팩트,2026-06-13,AM,8,에이팩트,,반도체/전자부품,80.0,"11,500","12,380",2026-06-15 11:52:16,2,7.65%,7.65%,,,7.65%,0.00%,tracking_updated
2026-06-13_AM_7_후성,2026-06-13,AM,7,후성,,화학,83.0,"19,010","19,480",2026-06-15 11:52:16,2,2.47%,2.47%,,,2.47%,0.00%,tracking_updated
2026-06-13_AM_6_유니셈,2026-06-13,AM,6,유니셈,,기계/장비,84.0,"12,470","12,470",2026-06-13 03:01:50,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_5_화신정공,2026-06-13,AM,5,화신정공,,자동차/부품,84.0,"4,895","4,895",2026-06-13 03:01:50,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_4_TIGER AI반도체핵심공정,2026-06-13,AM,4,TIGER AI반도체핵심공정,,반도체,78.0,"22,310","22,310",2026-06-13 03:01:50,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_3_제일기획,2026-06-13,AM,3,제일기획,,전문서비스,83.0,"20,450","20,450",2026-06-13 03:01:50,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_2_샘씨엔에스,2026-06-13,AM,2,샘씨엔에스,,반도체/전자부품,97.0,"16,320","16,320",2026-06-13 03:01:50,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_15_KODEX 미국S&P500,2026-06-13,AM,15,KODEX 미국S&P500,,AI/소프트웨어,59.0,"25,420","25,420",2026-06-13 03:01:50,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-13_AM_14_TIGER 미국S&P500,2026-06-13,AM,14,TIGER 미국S&P500,,AI/소프트웨어,61.0,"27,880","28,220",2026-06-15 11:52:16,2,1.22%,1.22%,,,1.22%,0.00%,tracking_updated
2026-06-13_AM_13_희림,2026-06-13,AM,13,희림,,건축/엔지니어링,69.0,"5,580","5,725",2026-06-15 11:52:16,2,2.60%,2.60%,,,2.60%,0.00%,tracking_updated
2026-06-13_AM_12_대한항공,2026-06-13,AM,12,대한항공,,항공운송,63.0,"26,600","29,950",2026-06-15 11:52:16,2,12.59%,12.59%,,,12.59%,0.00%,tracking_updated
2026-06-13_AM_11_아이로보틱스,2026-06-13,AM,11,아이로보틱스,,도매,79.0,"4,195","4,325",2026-06-15 11:52:16,2,3.10%,3.10%,,,3.10%,0.00%,tracking_updated
2026-06-13_AM_10_TIGER 배당커버드콜액티브,2026-06-13,AM,10,TIGER 배당커버드콜액티브,,AI/소프트웨어,65.0,"25,580","26,870",2026-06-15 11:52:16,2,5.04%,5.04%,,,5.04%,0.00%,tracking_updated
2026-06-13_AM_1_ACE 미국우주테크액티브,2026-06-13,AM,1,ACE 미국우주테크액티브,,금융,100.0,"25,900","27,100",2026-06-15 11:52:16,2,4.63%,4.63%,,,4.63%,0.00%,tracking_updated
2026-06-12_MANUAL_9_KODEX 200타겟위클리커버드콜,2026-06-12,MANUAL,9,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,67.0,"25,050","26,350",2026-06-15 11:52:16,3,5.19%,0.00%,5.19%,,5.19%,0.00%,tracking_updated
2026-06-12_MANUAL_8_에이팩트,2026-06-12,MANUAL,8,에이팩트,,반도체/전자부품,81.0,"11,500","12,380",2026-06-15 11:52:16,3,7.65%,0.00%,7.65%,,7.65%,0.00%,tracking_updated
2026-06-12_MANUAL_7_후성,2026-06-12,MANUAL,7,후성,,화학,84.0,"19,010","19,480",2026-06-15 11:52:16,3,2.47%,0.00%,2.47%,,2.47%,0.00%,tracking_updated
2026-06-12_MANUAL_6_유니셈,2026-06-12,MANUAL,6,유니셈,,기계/장비,85.0,"12,470","12,470",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_MANUAL_5_화신정공,2026-06-12,MANUAL,5,화신정공,,자동차/부품,85.0,"4,895","4,895",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_MANUAL_4_TIGER AI반도체핵심공정,2026-06-12,MANUAL,4,TIGER AI반도체핵심공정,,반도체,79.0,"22,310","22,310",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_MANUAL_3_제일기획,2026-06-12,MANUAL,3,제일기획,,전문서비스,84.0,"20,450","20,450",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_MANUAL_2_샘씨엔에스,2026-06-12,MANUAL,2,샘씨엔에스,,반도체/전자부품,98.0,"16,320","16,320",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_MANUAL_15_KODEX 미국S&P500,2026-06-12,MANUAL,15,KODEX 미국S&P500,,AI/소프트웨어,60.0,"25,420","25,420",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_MANUAL_14_TIGER 미국S&P500,2026-06-12,MANUAL,14,TIGER 미국S&P500,,AI/소프트웨어,62.0,"27,880","28,220",2026-06-15 11:52:16,3,1.22%,0.00%,1.22%,,1.22%,0.00%,tracking_updated
2026-06-12_MANUAL_13_희림,2026-06-12,MANUAL,13,희림,,건축/엔지니어링,70.0,"5,580","5,725",2026-06-15 11:52:16,3,2.60%,0.00%,2.60%,,2.60%,0.00%,tracking_updated
2026-06-12_MANUAL_12_대한항공,2026-06-12,MANUAL,12,대한항공,,항공운송,64.0,"26,600","29,950",2026-06-15 11:52:16,3,12.59%,0.00%,12.59%,,12.59%,0.00%,tracking_updated
2026-06-12_MANUAL_11_아이로보틱스,2026-06-12,MANUAL,11,아이로보틱스,,도매,80.0,"4,195","4,325",2026-06-15 11:52:16,3,3.10%,0.00%,3.10%,,3.10%,0.00%,tracking_updated
2026-06-12_MANUAL_10_TIGER 배당커버드콜액티브,2026-06-12,MANUAL,10,TIGER 배당커버드콜액티브,,AI/소프트웨어,66.0,"25,580","26,870",2026-06-15 11:52:16,3,5.04%,0.00%,5.04%,,5.04%,0.00%,tracking_updated
2026-06-12_MANUAL_1_ACE 미국우주테크액티브,2026-06-12,MANUAL,1,ACE 미국우주테크액티브,,금융,100.0,"25,900","27,100",2026-06-15 11:52:16,3,4.63%,0.00%,4.63%,,4.63%,0.00%,tracking_updated
2026-06-12_AM_9_제주은행,2026-06-12,AM,9,제주은행,,금융,72.0,"12,270","12,270",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_9_KODEX 200타겟위클리커버드콜,2026-06-12,AM,9,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,66.0,"25,050","26,350",2026-06-15 11:52:16,3,5.19%,0.00%,5.19%,,5.19%,0.00%,tracking_updated
2026-06-12_AM_8_샘씨엔에스,2026-06-12,AM,8,샘씨엔에스,,반도체/전자부품,73.0,"14,420","16,320",2026-06-13 03:01:50,1.0,13.18%,13.18%,,,13.18%,0.00%,tracking_updated
2026-06-12_AM_8_에이팩트,2026-06-12,AM,8,에이팩트,,반도체/전자부품,80.0,"11,500","12,380",2026-06-15 11:52:16,3,7.65%,0.00%,7.65%,,7.65%,0.00%,tracking_updated
2026-06-12_AM_7_에이팩트,2026-06-12,AM,7,에이팩트,,반도체/전자부품,80.0,"10,170","12,380",2026-06-15 11:52:16,3,21.73%,13.08%,21.73%,,21.73%,0.00%,tracking_updated
2026-06-12_AM_7_후성,2026-06-12,AM,7,후성,,화학,83.0,"19,010","19,480",2026-06-15 11:52:16,3,2.47%,0.00%,2.47%,,2.47%,0.00%,tracking_updated
2026-06-12_AM_6_화신정공,2026-06-12,AM,6,화신정공,,자동차/부품,80.0,"4,610","4,895",2026-06-13 03:01:50,1.0,6.18%,6.18%,,,6.18%,0.00%,tracking_updated
2026-06-12_AM_6_유니셈,2026-06-12,AM,6,유니셈,,기계/장비,84.0,"12,470","12,470",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_AM_5_대원강업,2026-06-12,AM,5,대원강업,,자동차/부품,91.0,"4,945","4,945",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_5_화신정공,2026-06-12,AM,5,화신정공,,자동차/부품,84.0,"4,895","4,895",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_AM_4_TIGER 미국S&P500(H),2026-06-12,AM,4,TIGER 미국S&P500(H),,AI/소프트웨어,85.0,"17,000","17,000",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_4_TIGER AI반도체핵심공정,2026-06-12,AM,4,TIGER AI반도체핵심공정,,반도체,78.0,"22,310","22,310",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_AM_3_SOL 반도체전공정,2026-06-12,AM,3,SOL 반도체전공정,,반도체,95.0,"27,735","27,735",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_3_제일기획,2026-06-12,AM,3,제일기획,,전문서비스,83.0,"20,450","20,450",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_AM_2_후성,2026-06-12,AM,2,후성,,화학,100.0,"15,770","19,480",2026-06-15 11:52:16,3,23.53%,20.55%,23.53%,,23.53%,0.00%,tracking_updated
2026-06-12_AM_2_샘씨엔에스,2026-06-12,AM,2,샘씨엔에스,,반도체/전자부품,97.0,"16,320","16,320",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_AM_15_한켐,2026-06-12,AM,15,한켐,,화학,65.0,"12,090","12,090",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_15_KODEX 미국S&P500,2026-06-12,AM,15,KODEX 미국S&P500,,AI/소프트웨어,59.0,"25,420","25,420",2026-06-13 03:01:50,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-12_AM_14_KODEX 200타겟위클리커버드콜,2026-06-12,AM,14,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,52.0,"24,550","26,350",2026-06-15 11:52:16,3,7.33%,2.04%,7.33%,,7.33%,0.00%,tracking_updated
2026-06-12_AM_14_TIGER 미국S&P500,2026-06-12,AM,14,TIGER 미국S&P500,,AI/소프트웨어,61.0,"27,880","28,220",2026-06-15 11:52:16,3,1.22%,0.00%,1.22%,,1.22%,0.00%,tracking_updated
2026-06-12_AM_13_KODEX 미국S&P500,2026-06-12,AM,13,KODEX 미국S&P500,,AI/소프트웨어,55.0,"25,245","25,420",2026-06-13 03:01:50,1.0,0.69%,0.69%,,,0.69%,0.00%,tracking_updated
2026-06-12_AM_13_희림,2026-06-12,AM,13,희림,,건축/엔지니어링,69.0,"5,580","5,725",2026-06-15 11:52:16,3,2.60%,0.00%,2.60%,,2.60%,0.00%,tracking_updated
2026-06-12_AM_12_엠케이전자,2026-06-12,AM,12,엠케이전자,,반도체/전자부품,65.0,"28,000","28,000",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_12_대한항공,2026-06-12,AM,12,대한항공,,항공운송,63.0,"26,600","29,950",2026-06-15 11:52:16,3,12.59%,0.00%,12.59%,,12.59%,0.00%,tracking_updated
2026-06-12_AM_11_라이콤,2026-06-12,AM,11,라이콤,,반도체/전자부품,67.0,"8,790","8,790",2026-06-12 04:12:51,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-12_AM_11_아이로보틱스,2026-06-12,AM,11,아이로보틱스,,도매,79.0,"4,195","4,325",2026-06-15 11:52:16,3,3.10%,0.00%,3.10%,,3.10%,0.00%,tracking_updated
2026-06-12_AM_10_TIGER 미국S&P500,2026-06-12,AM,10,TIGER 미국S&P500,,AI/소프트웨어,64.0,"27,695","28,220",2026-06-15 11:52:16,3,1.90%,0.67%,1.90%,,1.90%,0.00%,tracking_updated
2026-06-12_AM_10_TIGER 배당커버드콜액티브,2026-06-12,AM,10,TIGER 배당커버드콜액티브,,AI/소프트웨어,65.0,"25,580","26,870",2026-06-15 11:52:16,3,5.04%,0.00%,5.04%,,5.04%,0.00%,tracking_updated
2026-06-12_AM_1_ACE 미국우주테크액티브,2026-06-12,AM,1,ACE 미국우주테크액티브,,금융,100.0,"27,950","27,100",2026-06-15 11:52:16,3,-3.04%,-7.33%,-3.04%,,0.00%,-7.33%,tracking_updated
2026-06-11_PM_9_제주은행,2026-06-11,PM,9,제주은행,,금융,72.0,"12,270","12,270",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_8_샘씨엔에스,2026-06-11,PM,8,샘씨엔에스,,반도체/전자부품,73.0,"14,420","16,320",2026-06-13 03:01:50,2.0,13.18%,0.00%,,,13.18%,0.00%,tracking_updated
2026-06-11_PM_7_에이팩트,2026-06-11,PM,7,에이팩트,,반도체/전자부품,80.0,"10,170","12,380",2026-06-15 11:52:16,4,21.73%,0.00%,21.73%,,21.73%,0.00%,tracking_updated
2026-06-11_PM_6_화신정공,2026-06-11,PM,6,화신정공,,자동차/부품,80.0,"4,610","4,895",2026-06-13 03:01:50,2.0,6.18%,0.00%,,,6.18%,0.00%,tracking_updated
2026-06-11_PM_5_대원강업,2026-06-11,PM,5,대원강업,,자동차/부품,91.0,"4,945","4,945",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_4_TIGER 미국S&P500(H),2026-06-11,PM,4,TIGER 미국S&P500(H),,AI/소프트웨어,85.0,"17,000","17,000",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
